County,2025_pop
Anderson,60303
Andrews,19823
Angelina,87492
Aransas,25943
Archer,8976
Armstrong,1806
Atascosa,52314
Austin,32958
Bailey,7057
Bandera,22918
Bastrop,116842
Baylor,3529
Bee,30125
Bell,402069
Bexar,2167567
Blanco,13682
Borden,642
Bosque,18703
Bowie,92206
Brazoria,412599
Brazos,249858
Brewster,9262
Briscoe,1456
Brooks,6645
Brown,38346
Burleson,20660
Burnet,57023
Caldwell,52987
Calhoun,20228
Callahan,14746
Cameron,433199
Camp,12881
Carson,5648
Cass,28474
Castro,7490
Chambers,57010
Cherokee,53809
Childress,6577
Clay,10752
Cochran,2596
Coke,3505
Coleman,8188
Collin,1272999
Collingsworth,2607
Colorado,21543
Comal,207603
Comanche,14524
Concho,3322
Cooke,44986
Coryell,87186
Cottle,1220
Crane,4743
Crockett,2723
Crosby,5169
Culberson,2282
Dallam,7831
Dallas,2691548
Dawson,11655
Deaf Smith,18794
Delta,5531
Denton,1058299
DeWitt,20471
Dickens,1741
Dimmit,8021
Donley,3172
Duval,9963
Eastland,18223
Ector,175677
Edwards,1421
Ellis,235760
El Paso,879329
Erath,43427
Falls,17855
Fannin,39397
Fayette,25486
Fisher,3736
Floyd,4970
Foard,1025
Fort Bend,971689
Franklin,11231
Freestone,20554
Frio,19614
Gaines,23167
Galveston,368857
Garza,5376
Gillespie,28875
Glasscock,1154
Goliad,7399
Gonzales,20311
Gray,20887
Grayson,152665
Gregg,127815
Grimes,33510
Guadalupe,196392
Hale,31802
Hall,2670
Hamilton,9071
Hansford,4977
Hardeman,3367
Hardin,59494
Harris,5003892
Harrison,71364
Hartley,4916
Haskell,5445
Hays,294840
Hemphill,3210
Henderson,88009
Hidalgo,928384
Hill,39598
Hockley,21620
Hood,70130
Hopkins,39012
Houston,21771
Howard,33949
Hudspeth,3792
Hunt,118261
Hutchinson,20223
Irion,1475
Jack,9606
Jackson,15034
Jasper,32954
Jeff Davis,2035
Jefferson,258038
Jim Hogg,4697
Jim Wells,38468
Johnson,209341
Jones,21101
Karnes,15196
Kaufman,200711
Kendall,50790
Kenedy,338
Kent,730
Kerr,53984
Kimble,4383
King,268
Kinney,3108
Kleberg,31032
Knox,3246
Lamar,51503
Lamb,12620
Lampasas,23572
La Salle,6735
Lavaca,20919
Lee,18432
Leon,16884
Liberty,117976
Limestone,22049
Lipscomb,2745
Live Oak,12111
Llano,23181
Loving,55
Lubbock,329582
Lynn,6326
McCulloch,7489
McLennan,270957
McMullen,563
Madison,14184
Marion,10067
Martin,5154
Mason,4086
Matagorda,36405
Maverick,58621
Medina,56647
Menard,1877
Midland,184344
Milam,26199
Mills,4547
Mitchell,8858
Montague,22362
Montgomery,775723
Moore,22110
Morris,11994
Motley,1035
Nacogdoches,64105
Navarro,55841
Newton,11810
Nolan,14432
Nueces,359942
Ochiltree,9759
Oldham,1812
Orange,85934
Palo Pinto,29927
Panola,22889
Parker,179074
Parmer,9288
Pecos,15744
Polk,54730
Potter,117502
Presidio,6187
Rains,13512
Randall,151067
Reagan,3414
Real,2737
Red River,11793
Reeves,15034
Refugio,6848
Roberts,813
Robertson,17653
Rockwall,135364
Runnels,9611
Rusk,53498
Sabine,9984
San Augustine,7887
San Jacinto,28777
San Patricio,71946
San Saba,5626
Schleicher,2238
Scurry,16044
Shackelford,2938
Shelby,24094
Sherman,2773
Smith,245101
Somervell,10288
Starr,66763
Stephens,9210
Sterling,1350
Stonewall,1237
Sutton,3350
Swisher,6790
Tarrant,2245229
Taylor,149153
Terrell,737
Terry,11581
Throckmorton,1587
Titus,31626
Tom Green,123326
Travis,1395906
Trinity,14510
Tyler,20574
Upshur,44174
Upton,3296
Uvalde,24344
Val Verde,48163
Van Zandt,65449
Victoria,90845
Walker,80914
Waller,65997
Ward,11762
Washington,38024
Webb,277406
Wharton,42154
Wheeler,4936
Wichita,128927
Wilbarger,12566
Willacy,20510
Williamson,737942
Wilson,56383
Winkler,7731
Wise,75954
Wood,47953
Yoakum,7519
Young,18024
Zapata,13963
Zavala,9546
State of Texas,31572300