County,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024*
Bell,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Bexar,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Collin,0,0,0,0,0,0,0,0,2,0,1,0,1,2,0,0,0,0,0
Dallas,0,0,0,0,0,0,0,2,1,0,0,1,0,1,0,0,0,0,0
Denton,0,0,0,0,0,0,0,7,0,0,0,0,1,1,0,0,0,0,0
El Paso,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0
Ellis,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0
Fort Bend,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Galveston,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Guadalupe,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Harris,0,4,0,1,0,3,0,2,2,0,0,0,1,4,0,0,0,0,1
Hood,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Jefferson,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
McCulloch,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Montgomery,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Orange,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Tarrant,0,0,0,0,0,3,0,16,1,1,0,0,0,1,0,0,0,0,0
Taylor,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0
Williamson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Total,0,7,0,1,0,6,0,27,10,1,1,1,9,23,0,0,0,3,1
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,